PROJECT_NAME,PROJECT_TYPE,PRODUCT_NAME,ISSUE_SEVERITY,CVE,CWE,SEMVER_VULNERABLE_RANGE,FIXED_IN_VERSION,VULNERABILITY_PUBLICATION_DATE,FIRST_INTRODUCED,UPDATED_AT
urllib3,pip,OSV Database,moderate,CVE-2024-37891,,>=0 >=2.0.0,1.26.19,2024-06-17T21:37:20Z,,2025-11-04T17:17:45.245584Z
urllib3,pip,OSV Database,moderate,CVE-2025-50182,,>=2.2.0,2.5.0,2025-06-18T17:50:11Z,,2025-06-30T19:08:09.127199Z
urllib3,pip,OSV Database,moderate,CVE-2021-28363,,>=1.26.0,1.26.4,2021-03-19T19:42:11Z,,2024-11-18T22:47:07.986639Z
urllib3,pip,OSV Database,moderate,CVE-2023-45803,,>=2.0.0 >=0,2.0.7,2023-10-17T20:15:25Z,,2025-11-04T17:00:24.358773Z
urllib3,pip,OSV Database,moderate,CVE-2018-25091,,>=0,1.24.2,2023-10-15T21:30:26Z,,2024-11-18T23:24:00.169548Z
urllib3,pip,OSV Database,high,CVE-2020-7212,,>=1.25.2,1.25.8,2021-04-30T17:31:43Z,,2024-11-18T22:35:00.503678Z
urllib3,pip,OSV Database,high,CVE-2019-11324,,>=0,1.24.2,2019-04-19T16:55:10Z,,2024-11-18T22:25:21.266722Z
urllib3,pip,OSV Database,moderate,CVE-2025-50181,,>=0,2.5.0,2025-06-18T17:50:00Z,,2025-06-19T16:15:11.736637Z
urllib3,pip,OSV Database,high,CVE-2021-33503,,>=1.25.4,1.26.5,2021-06-01T21:19:32Z,,2024-11-18T23:12:19.714863Z
urllib3,pip,OSV Database,moderate,CVE-2019-11236,,>=0,1.24.3,2022-05-13T01:09:23Z,,2024-11-18T23:01:35.378516Z
urllib3,pip,OSV Database,moderate,CVE-2016-9015,,>=1.17,1.18.1,2022-05-17T03:05:04Z,,2024-11-18T23:23:42.457541Z
urllib3,pip,OSV Database,high,CVE-2023-43804,,>=2.0.0 >=0,2.0.6,2023-10-02T23:27:05Z,,2025-11-04T17:12:10.974241Z
urllib3,pip,OSV Database,moderate,CVE-2020-26137,,>=0,1.25.9,2021-06-18T18:46:43Z,,2024-11-18T22:47:07.792720Z
urllib3,pip,OSV Database,critical,CVE-2018-20060,,>=0,1.23,2018-12-12T15:52:07Z,,2024-12-27T18:35:28.737156Z
urllib3,pip,OSV Database,unknown,CVE-2016-9015,,>=1.17,1.18.1,2017-01-11T16:59:00Z,,2023-11-08T03:58:37.567506Z
urllib3,pip,OSV Database,unknown,CVE-2018-20060,,>=0,1.23,2018-12-11T17:29:00Z,,2023-11-08T04:00:10.720105Z
urllib3,pip,OSV Database,unknown,CVE-2019-11236,,>=0,1.24.3,2019-04-15T15:29:00Z,,2023-11-08T04:01:00.047784Z
urllib3,pip,OSV Database,unknown,CVE-2019-11324,,>=0,1.24.2,2019-04-18T21:29:00Z,,2023-11-08T04:01:00.967964Z
urllib3,pip,OSV Database,unknown,CVE-2020-26137,,>=0,1.25.9,2020-09-30T18:15:00Z,,2023-11-08T04:03:14.251187Z
urllib3,pip,OSV Database,unknown,CVE-2020-7212,,>=1.25.2,1.25.8,2020-03-06T20:15:00Z,,2023-11-08T04:03:58.967412Z
urllib3,pip,OSV Database,unknown,CVE-2021-33503,,>=0,1.26.5,2021-06-29T11:15:00Z,,2023-11-08T04:06:04.829992Z
urllib3,pip,OSV Database,unknown,CVE-2021-28363,,>=1.26.0,1.26.4,2021-03-15T18:15:00Z,,2023-11-08T04:05:29.804412Z
requests,pip,OSV Database,moderate,CVE-2014-1830,,>=0,2.3.0,2022-05-14T02:09:22Z,,2024-10-21T22:22:54.104555Z
requests,pip,OSV Database,moderate,CVE-2024-47081,,>=0,2.32.4,2025-06-09T19:06:08Z,,2025-06-09T19:27:13.389930Z
requests,pip,OSV Database,moderate,CVE-2024-35195,,>=0,2.32.0,2024-05-20T20:15:00Z,,2024-07-15T22:12:27.987373Z
requests,pip,OSV Database,moderate,CVE-2014-1829,,>=0,2.3.0,2022-05-17T03:49:35Z,,2024-10-26T22:51:23.384075Z
requests,pip,OSV Database,moderate,CVE-2023-32681,,>=2.3.0,2.31.0,2023-05-22T20:36:32Z,,2025-02-13T19:20:45.182158Z
requests,pip,OSV Database,moderate,CVE-2015-2296,,>=2.1.0,2.6.0,2022-05-13T01:11:23Z,,2024-12-01T05:57:02.796059Z
requests,pip,OSV Database,high,CVE-2018-18074,,>=0,2.20.0,2018-10-29T19:06:46Z,,2024-10-21T21:42:55.896669Z
requests,pip,OSV Database,unknown,CVE-2014-1829,,>=0,2.3.0,2014-10-15T14:55:00Z,,2023-11-08T03:57:34.760439Z
requests,pip,OSV Database,unknown,CVE-2014-1830,,>=0,2.3.0,2014-10-15T14:55:00Z,,2023-11-08T03:57:34.820933Z
requests,pip,OSV Database,unknown,CVE-2015-2296,,>=2.1.0,2.6.0,2015-03-18T16:59:00Z,,2023-11-08T03:57:51.982387Z
requests,pip,OSV Database,unknown,CVE-2018-18074,,>=0,2.20.0,2018-10-09T17:29:00Z,,2023-11-08T04:00:04.815794Z
requests,pip,OSV Database,unknown,CVE-2023-32681,,>=2.3.0,2.31.0,2023-05-26T18:15:00Z,,2023-11-08T04:12:35.436175Z
certifi,pip,OSV Database,low,CVE-2024-39689,,>=2021.5.30,2024.7.4,2024-07-05T20:06:40Z,,2025-02-13T00:55:06.046060Z
certifi,pip,OSV Database,moderate,CVE-2022-23491,,>=2017.11.05,2022.12.07,2022-12-07T23:05:18Z,,2025-02-12T18:53:14.421067Z
certifi,pip,OSV Database,high,CVE-2023-37920,,>=2015.4.28,2023.7.22,2023-07-25T14:43:53Z,,2025-02-12T21:36:30.322091Z
certifi,pip,OSV Database,unknown,CVE-2022-23491,,>=2017.11.5,2022.12.7,2022-12-07T22:15:00Z,,2023-11-08T04:08:19.066843Z
certifi,pip,OSV Database,unknown,CVE-2023-37920,,>=2015.4.28,2023.7.22,2023-08-03T19:36:12Z,,2023-11-08T04:13:04.801823Z
idna,pip,OSV Database,moderate,CVE-2024-3651,,>=0,3.7,2024-04-11T21:32:40Z,,2025-11-05T20:30:45.121847Z
setuptools,pip,OSV Database,high,CVE-2013-1633,,>=0,0.7,2022-05-17T05:01:02Z,,2024-10-22T17:02:06.583304Z
setuptools,pip,OSV Database,high,CVE-2025-47273,,>=0,78.1.1,2025-05-19T16:52:43Z,,2025-06-13T06:59:23.470501Z
setuptools,pip,OSV Database,high,CVE-2024-6345,,>=0,70.0.0,2024-07-15T03:30:57Z,,2025-11-04T20:28:44.074515Z
setuptools,pip,OSV Database,high,CVE-2022-40897,,>=0,65.5.1,2022-12-23T00:30:23Z,,2025-11-04T20:46:15.019106Z
setuptools,pip,OSV Database,unknown,CVE-2013-1633,,>=0,0.7,2013-08-06T02:52:00Z,,2023-11-08T03:57:14.525408Z
setuptools,pip,OSV Database,unknown,CVE-2022-40897,,>=0,65.5.1,2022-12-23T00:15:00Z,,2023-12-06T01:02:35.662444Z
