package,cve,cwes,severity,first_affected_version,first_affected_date,disclosed_date,mitigation_version,mitigation_date,disclosure_lag_days,time_to_fix_from_first_days,time_to_fix_from_disclosure_days,fix_semver_type
urllib3,CVE-2024-37891,,moderate,0,,2024-06-17,1.26.19,2024-06-17,,,0.0,major
urllib3,CVE-2025-50182,,moderate,2.2.0,2024-01-30,2025-06-18,2.5.0,2025-06-18,505.0,505.0,0.0,minor
urllib3,CVE-2025-50181,,moderate,0,,2025-06-18,2.5.0,2025-06-18,,,0.0,major
requests,CVE-2024-47081,,moderate,0,,2025-06-09,2.32.4,2025-06-09,,,0.0,major
requests,CVE-2024-35195,,moderate,0,,2024-05-20,2.32.0,2024-05-20,,,0.0,major
certifi,CVE-2024-39689,,low,2021.5.30,2021-05-30,2024-07-05,2024.7.4,2024-07-04,1132.0,1131.0,-1.0,major
idna,CVE-2024-3651,,moderate,0,,2024-04-11,,,,,,
setuptools,CVE-2025-47273,,high,0,,2025-05-19,78.1.1,2025-04-19,,,-30.0,major
setuptools,CVE-2024-6345,,high,0,,2024-07-15,70.0.0,2024-05-21,,,-55.0,major
cryptography,CVE-2023-50782,,high,0,,2024-02-05,42.0.0,2024-01-23,,,-13.0,major
cryptography,CVE-2024-26130,,high,38.0.0,2022-09-07,2024-02-21,42.0.4,2024-02-21,532.0,532.0,0.0,major
cryptography,CVE-2024-12797,,low,42.0.0,2024-01-23,2025-02-11,44.0.1,2025-02-11,385.0,385.0,0.0,major
cryptography,CVE-2024-0727,,moderate,0,,2024-01-26,42.0.2,2024-01-30,,,4.0,major
cryptography,,,moderate,37.0.0,2022-04-26,2024-09-03,43.0.1,2024-09-03,861.0,861.0,0.0,major
cryptography,CVE-2023-49083,,moderate,3.1,2020-08-27,2023-11-28,41.0.6,2023-11-27,1188.0,1187.0,-1.0,major
pydantic,CVE-2024-3772,,moderate,0,,2024-04-15,2.4.0,2023-09-25,,,-203.0,major
pip,CVE-2025-8869,,moderate,0,,2025-09-24,,,,,,
protobuf,CVE-2025-4565,,high,0,,2025-06-16,4.25.8,2025-05-28,,,-19.0,major
h11,CVE-2025-43859,,critical,0,,2025-04-24,0.16.0,2025-04-24,,,0.0,minor
jinja2,CVE-2025-27516,,moderate,0,,2025-03-05,3.1.6,2025-03-05,,,0.0,major
jinja2,CVE-2024-56201,,moderate,3.0.0,2021-05-11,2024-12-23,3.1.5,2024-12-21,1322.0,1320.0,-2.0,minor
jinja2,CVE-2024-22195,,moderate,0,,2024-01-11,3.1.3,2024-01-10,,,-1.0,major
jinja2,CVE-2024-34064,,moderate,0,,2024-05-06,3.1.4,2024-05-05,,,-1.0,major
jinja2,CVE-2024-56326,,moderate,0,,2024-12-23,3.1.5,2024-12-21,,,-2.0,major
zipp,CVE-2024-5569,,moderate,0,,2024-07-09,3.19.1,2024-05-31,,,-39.0,major
aiohttp,CVE-2024-52303,,moderate,3.10.6,2024-09-24,2024-11-18,3.10.11,2024-11-13,55.0,50.0,-5.0,patch
aiohttp,CVE-2024-23334,,high,1.0.5,2016-10-11,2024-01-29,3.9.2,2024-01-28,2666.0,2665.0,-1.0,major
aiohttp,CVE-2024-30251,,high,0,,2024-05-03,3.9.4,2024-04-11,,,-22.0,major
aiohttp,CVE-2024-27306,,moderate,0,,2024-04-18,3.9.4,2024-04-11,,,-7.0,major
aiohttp,CVE-2024-52304,,moderate,0,,2024-11-18,3.10.11,2024-11-13,,,-5.0,major
aiohttp,CVE-2024-23829,,moderate,0,,2024-01-29,3.9.2,2024-01-28,,,-1.0,major
aiohttp,CVE-2025-53643,,low,0,,2025-07-14,3.12.14,2025-07-10,,,-4.0,major
aiohttp,CVE-2023-47627,,moderate,0,,2023-11-14,3.8.6,2023-10-07,,,-38.0,major
aiohttp,CVE-2024-42367,,moderate,3.10.0b1,2024-07-22,2024-08-09,3.10.2,2024-08-08,18.0,17.0,-1.0,patch
aiohttp,,,moderate,0,,2023-11-27,3.8.6,2023-10-07,,,-51.0,major
aiohttp,CVE-2023-49081,,moderate,0,,2023-11-27,3.9.0,2023-11-18,,,-9.0,major
aiohttp,CVE-2023-49082,,moderate,0,,2023-11-27,3.9.0,2023-11-18,,,-9.0,major
aiohttp,CVE-2023-47641,,low,0,,2023-11-14,3.8.0,2021-10-31,,,-744.0,major
pyjwt,CVE-2024-53861,,low,2.10.0,2024-11-17,2024-12-02,2.10.1,2024-11-28,15.0,11.0,-4.0,patch
virtualenv,CVE-2024-53899,,high,0,,2024-11-24,20.26.6,2024-09-27,,,-58.0,major
tqdm,CVE-2024-34062,,low,4.4.0,2016-04-07,2024-05-03,4.66.3,2024-05-02,2948.0,2947.0,-1.0,minor
pyarrow,CVE-2023-47248,,critical,0.14.0,2019-07-04,2023-11-09,14.0.1,2023-11-08,1589.0,1588.0,-1.0,major
pyarrow,CVE-2023-47248,,unknown,0.14.0,2019-07-04,2023-11-20,14.0.1,2023-11-08,1600.0,1588.0,-12.0,major
pyarrow,CVE-2024-52338,,unknown,4.0.0,2021-04-26,2024-11-28,17.0.0,2024-07-16,1312.0,1177.0,-135.0,major
pillow,CVE-2023-50447,,critical,0,,2024-01-19,10.2.0,2024-01-02,,,-17.0,major
pillow,CVE-2024-28219,,high,0,,2024-04-03,10.3.0,2024-04-01,,,-2.0,major
pillow,CVE-2023-44271,,high,0,,2023-11-03,10.0.0,2023-07-01,,,-125.0,major
pillow,CVE-2025-48379,,high,11.2.0,,2025-07-01,11.3.0,2025-07-01,,,0.0,minor
starlette,CVE-2025-54121,,moderate,0,,2025-07-21,0.47.2,2025-07-20,,,-1.0,minor
starlette,CVE-2025-62727,,high,0.39.0,2024-09-23,2025-10-28,0.49.1,2025-10-28,400.0,400.0,0.0,minor
starlette,CVE-2024-47874,,high,0,,2024-10-15,0.40.0,2024-10-15,,,0.0,minor
snowflake-connector-python,CVE-2025-24793,,high,2.2.5,2020-04-30,2025-01-29,3.13.1,2025-01-29,1735.0,1735.0,0.0,major
snowflake-connector-python,CVE-2024-49750,,moderate,0,,2024-10-24,3.12.3,2024-10-24,,,0.0,major
snowflake-connector-python,CVE-2025-24794,,moderate,2.7.12,2022-08-25,2025-01-29,3.13.1,2025-01-29,888.0,888.0,0.0,major
snowflake-connector-python,CVE-2025-24795,,moderate,2.3.7,2020-12-08,2025-01-29,3.13.1,2025-01-29,1513.0,1513.0,0.0,major
werkzeug,CVE-2024-34069,,high,0,,2024-05-06,3.0.3,2024-05-05,,,-1.0,major
werkzeug,CVE-2024-49766,,moderate,0,,2024-10-25,3.0.6,2024-10-25,,,0.0,major
werkzeug,CVE-2024-49767,,moderate,0,,2024-10-25,3.0.6,2024-10-25,,,0.0,major
flask,CVE-2025-47278,,low,3.1.0,2024-11-13,2025-05-13,3.1.1,2025-05-13,181.0,181.0,0.0,patch
scikit-learn,CVE-2024-5206,,moderate,0,,2024-06-06,1.5.0,2024-05-21,,,-16.0,major
python-multipart,CVE-2024-24762,,high,0,,2024-02-12,0.0.7,2024-02-03,,,-9.0,patch
python-multipart,CVE-2024-53981,,high,0,,2024-12-02,0.0.18,2024-11-28,,,-4.0,patch
dnspython,CVE-2023-29483,,moderate,0,,2024-04-11,2.6.1,2024-02-18,,,-53.0,major
gitpython,CVE-2024-22190,,high,0,,2024-01-10,3.1.41,2024-01-10,,,0.0,major
azure-identity,CVE-2024-35255,,moderate,0,,2024-06-11,1.16.1,2024-06-10,,,-1.0,major
fonttools,CVE-2023-45139,,high,4.28.2,2021-11-22,2024-01-09,4.43.0,2023-09-29,778.0,676.0,-102.0,minor
paramiko,CVE-2023-48795,,moderate,2.5.0,2019-06-10,2023-12-18,3.4.0,2023-12-18,1652.0,1652.0,0.0,major
transformers,CVE-2025-3933,,moderate,0,,2025-07-11,4.52.1,2025-05-20,,,-52.0,major
transformers,CVE-2024-3568,,low,0,,2024-04-10,4.38.0,2024-02-21,,,-49.0,major
transformers,CVE-2023-6730,,critical,0,,2023-12-19,4.36.0,2023-12-11,,,-8.0,major
transformers,CVE-2025-3262,,moderate,4.49.0,2025-02-17,2025-07-07,4.51.0,2025-04-05,140.0,47.0,-93.0,minor
transformers,CVE-2025-6921,,moderate,0,,2025-09-23,4.53.0,2025-06-26,,,-89.0,major
transformers,CVE-2025-6638,,moderate,0,,2025-09-12,4.53.0,2025-06-26,,,-78.0,major
transformers,CVE-2024-12720,,moderate,0,,2025-03-20,4.48.0,2025-01-10,,,-69.0,major
transformers,CVE-2025-5197,,moderate,0,,2025-08-06,4.53.0,2025-06-26,,,-41.0,major
transformers,CVE-2025-1194,,moderate,0,,2025-04-29,4.50.0,2025-03-21,,,-39.0,major
transformers,CVE-2024-11394,,high,0,,2024-11-23,4.48.0,2025-01-10,,,48.0,major
transformers,CVE-2025-3264,,moderate,0,,2025-07-07,4.51.0,2025-04-05,,,-93.0,major
transformers,CVE-2025-3777,,low,0,,2025-07-07,4.52.1,2025-05-20,,,-48.0,major
transformers,CVE-2025-3263,,moderate,0,,2025-07-07,4.51.0,2025-04-05,,,-93.0,major
transformers,CVE-2025-2099,,moderate,0,,2025-05-19,4.50.0,2025-03-21,,,-59.0,major
transformers,CVE-2024-11392,,high,0,,2024-11-23,4.48.0,2025-01-10,,,48.0,major
transformers,CVE-2025-6051,,moderate,0,,2025-09-14,4.53.0,2025-06-26,,,-80.0,major
transformers,CVE-2023-7018,,high,0,,2023-12-20,4.36.0,2023-12-11,,,-9.0,major
transformers,CVE-2024-11393,,high,0,,2024-11-23,4.48.0,2025-01-10,,,48.0,major
orjson,CVE-2024-27454,,high,0,,2024-02-26,3.9.15,2024-02-23,,,-3.0,major
orjson,CVE-2024-27454,,unknown,0,,2024-02-26,3.9.15,2024-02-23,,,-3.0,major
sqlparse,CVE-2024-4340,,high,0,,2024-04-15,0.5.0,2024-04-13,,,-2.0,minor
black,CVE-2024-21503,,moderate,0,,2024-03-19,24.3.0,2024-03-15,,,-4.0,major
black,CVE-2024-21503,,unknown,0,,2024-03-19,24.3.0,2024-03-15,,,-4.0,major
langchain,CVE-2024-2965,,moderate,0,,2024-06-06,0.2.5,2024-06-14,,,8.0,minor
langchain,CVE-2024-8309,,low,0,,2024-10-29,0.2.0,2024-05-17,,,-165.0,minor
langchain,CVE-2023-32786,,high,0,,2023-10-21,0.0.329,2023-11-02,,,12.0,patch
langchain,CVE-2024-28088,,low,0,,2024-03-04,0.0.339,2023-11-20,,,-105.0,patch
langchain,CVE-2024-0243,,low,0,,2024-02-26,0.1.0,2024-01-06,,,-51.0,minor
langchain,CVE-2024-3571,,moderate,0,,2024-04-16,0.0.353,2023-12-29,,,-109.0,patch
tornado,,,moderate,0,,2024-06-06,6.4.1,2024-06-06,,,0.0,major
tornado,CVE-2025-47287,,high,0,,2025-05-16,,,,,,
tornado,CVE-2024-52804,,high,0,,2024-11-22,6.4.2,2024-11-22,,,0.0,major
tornado,,,moderate,0,,2024-06-06,6.4.1,2024-06-06,,,0.0,major
sentry-sdk,CVE-2024-40647,,low,0,,2024-07-18,2.8.0,2024-07-08,,,-10.0,major
pymysql,CVE-2024-36039,,critical,0,,2024-05-21,1.1.1,2024-05-21,,,0.0,major
torch,CVE-2025-2953,,low,0,,2025-03-30,2.7.1rc1,,,,,major
torch,CVE-2025-32434,,critical,0,,2025-04-18,2.6.0,2025-01-29,,,-79.0,major
torch,CVE-2024-31580,,high,0,,2024-04-17,2.2.0,2024-01-30,,,-78.0,major
torch,CVE-2025-3730,,moderate,0,,2025-04-16,2.8.0,2025-08-06,,,112.0,major
torch,CVE-2024-31583,,high,0,,2024-04-17,2.2.0,2024-01-30,,,-78.0,major
torch,CVE-2024-31584,,unknown,0,,2024-04-19,2.2.0,2024-01-30,,,-80.0,major
torch,CVE-2024-31583,,unknown,0,,2024-04-17,2.2.0,2024-01-30,,,-78.0,major
torch,CVE-2024-31580,,unknown,0,,2024-04-17,2.2.0,2024-01-30,,,-78.0,major
uv,CVE-2025-54368,,moderate,0,,2025-08-07,0.8.6,2025-08-07,,,0.0,minor
uv,,,moderate,0,,2025-10-29,0.9.6,2025-10-29,,,0.0,minor
uv,,,low,0,,2025-10-21,0.9.5,2025-10-21,,,0.0,minor
gunicorn,CVE-2024-6827,,high,0,,2025-03-20,22.0.0,2024-04-16,,,-338.0,major
gunicorn,CVE-2024-1135,,high,0,,2024-04-16,22.0.0,2024-04-16,,,0.0,major
langchain-core,CVE-2024-10940,,moderate,0.1.17,2024-01-29,2025-03-20,0.1.53,2024-11-02,416.0,278.0,-138.0,patch
langchain-core,CVE-2024-28088,,low,0,,2024-03-04,0.1.30,2024-03-07,,,3.0,minor
langchain-core,CVE-2024-1455,,moderate,0,,2024-03-26,0.1.35,2024-03-27,,,1.0,minor
langchain-core,CVE-2024-28088,,unknown,0,,2024-03-04,0.1.11,2024-01-16,,,-48.0,minor
pymongo,CVE-2024-5629,,moderate,0,,2024-06-05,4.6.3,2024-03-28,,,-69.0,major
pycryptodome,CVE-2023-52323,,high,0,,2024-01-05,3.19.1,2023-12-28,,,-8.0,major
brotli,CVE-2025-6176,,high,0,,2025-10-31,1.2.0,2025-11-05,,,5.0,major
notebook,CVE-2024-22421,,high,7.0.0,2023-07-19,2024-01-19,7.0.7,2024-01-19,184.0,184.0,0.0,patch
notebook,CVE-2024-22420,,moderate,7.0.0,2023-07-19,2024-01-19,7.0.7,2024-01-19,184.0,184.0,0.0,patch
notebook,CVE-2024-43805,,high,7.0.0,2023-07-19,2024-08-29,7.2.2,2024-08-27,407.0,405.0,-2.0,minor
dbt-core,,,low,1.7.0,2023-11-02,2023-12-08,1.7.3,2023-11-29,36.0,27.0,-9.0,patch
dbt-core,CVE-2024-40637,,low,1.6.0,2023-07-31,2024-07-17,1.6.14,2024-05-03,352.0,277.0,-75.0,patch
dbt-core,,,high,1.6.0,2023-07-31,2024-04-22,1.6.13,2024-04-18,266.0,262.0,-4.0,patch
dbt-core,CVE-2024-36105,,moderate,0,,2024-05-28,1.6.15,2024-05-22,,,-6.0,major
jupyter-core,CVE-2025-30167,,high,0,,2025-06-04,5.8.1,2025-05-27,,,-8.0,major
redshift-connector,CVE-2024-12745,,high,2.1.4,2024-11-21,2024-12-26,2.1.5,2024-12-24,35.0,33.0,-2.0,patch
redshift-connector,CVE-2025-5279,,high,2.0.872,2020-12-14,2025-05-28,2.1.7,2025-05-27,1626.0,1625.0,-1.0,minor
mcp,CVE-2025-53366,,high,0,,2025-07-04,1.9.4,2025-06-12,,,-22.0,major
mcp,CVE-2025-53365,,high,0,,2025-07-04,1.10.0,2025-06-26,,,-8.0,major
h2,CVE-2025-57804,,moderate,0,,2025-08-25,4.3.0,2025-08-23,,,-2.0,major
deepdiff,CVE-2025-58367,,critical,5.0.0,2020-06-23,2025-09-03,8.6.1,2025-09-03,1898.0,1898.0,0.0,major
pycryptodomex,CVE-2023-52323,,high,0,,2024-01-05,3.19.1,2023-12-28,,,-8.0,major
authlib,CVE-2024-37568,,high,0,,2024-06-09,1.3.1,2024-06-04,,,-5.0,major
authlib,CVE-2025-59420,,high,0,,2025-09-22,1.6.4,2025-09-17,,,-5.0,major
authlib,CVE-2025-62706,,moderate,0,,2025-10-10,1.6.5,2025-10-02,,,-8.0,major
authlib,CVE-2025-61920,,high,0,,2025-10-10,1.6.5,2025-10-02,,,-8.0,major
authlib,CVE-2024-37568,,unknown,0,,2024-06-09,1.3.1,2024-06-04,,,-5.0,major
mysql-connector-python,CVE-2024-21272,,high,0,,2024-10-15,9.1.0,2024-10-15,,,0.0,major
pg8000,CVE-2025-61385,,high,0,,2025-10-27,1.31.5,2025-09-14,,,-43.0,major
nltk,CVE-2024-39705,,high,0,,2024-06-28,,,,,,
nltk,CVE-2024-39705,,unknown,0,,2024-06-27,,,,,,
jupyter-server,CVE-2023-49080,,moderate,0,,2023-12-05,2.11.2,2023-12-04,,,-1.0,major
jupyter-server,CVE-2024-35178,,high,0,,2024-06-06,2.14.1,2024-05-31,,,-6.0,major
jupyterlab,CVE-2024-22421,,high,0,,2024-01-19,4.0.11,2024-01-19,,,0.0,major
jupyterlab,CVE-2024-22420,,moderate,4.0.0,2023-05-15,2024-01-19,4.0.11,2024-01-19,249.0,249.0,0.0,patch
jupyterlab,CVE-2024-43805,,high,0,,2024-08-29,3.6.8,2024-08-26,,,-3.0,major
jupyterlab,CVE-2025-59842,,low,0,,2025-09-26,4.4.8,2025-09-25,,,-1.0,major
litellm,CVE-2024-4888,,high,0,,2024-06-06,1.35.36,2024-05-02,,,-35.0,major
litellm,CVE-2024-2952,,critical,0,,2024-04-10,1.34.42,2024-04-11,,,1.0,major
litellm,CVE-2024-6825,,high,1.40.3.dev2,,2025-03-20,,,,,,
litellm,CVE-2024-4264,,high,0,,2024-05-18,,,,,,
litellm,CVE-2025-0330,,high,0,,2025-03-20,,,,,,
litellm,CVE-2024-4890,,moderate,0,,2024-06-06,,,,,,
litellm,CVE-2024-8984,,high,0,,2025-03-20,1.56.2,2024-12-27,,,-83.0,major
litellm,CVE-2025-0628,,high,0,,2025-03-20,1.61.15,2025-02-23,,,-25.0,major
litellm,CVE-2024-6587,,high,0,,2024-09-13,1.44.8,2024-08-28,,,-16.0,major
litellm,CVE-2024-9606,,high,0,,2025-03-20,1.44.12,2024-08-30,,,-202.0,major
litellm,CVE-2024-5751,,critical,0,,2024-06-27,1.40.16,2024-06-18,,,-9.0,major
litellm,CVE-2024-10188,,high,0,,2025-03-20,1.53.1.dev1,2024-12-03,,,-107.0,major
litellm,CVE-2024-5225,,moderate,0,,2024-06-06,1.40.0,2024-06-02,,,-4.0,major
litellm,CVE-2024-5710,,moderate,0,,2024-06-27,1.40.15,2024-06-16,,,-11.0,major
langchain-community,CVE-2024-2965,,moderate,0,,2024-06-06,0.2.5,2024-06-14,,,8.0,minor
langchain-community,CVE-2024-8309,,low,0.2.0,2024-05-17,2024-10-29,0.2.19,2024-11-12,165.0,179.0,14.0,patch
langchain-community,CVE-2024-5998,,high,0,,2024-09-17,0.2.4,2024-06-07,,,-102.0,minor
langchain-community,CVE-2025-2828,,high,0,,2025-06-23,0.0.28,2024-03-12,,,-468.0,patch
langchain-community,CVE-2025-6984,,high,0,,2025-09-04,0.3.27,2025-07-02,,,-64.0,minor
langchain-community,CVE-2024-3095,,moderate,0,,2024-06-06,0.2.9,2024-07-19,,,43.0,minor
weasyprint,CVE-2024-28184,,high,61.0,2024-02-12,2024-03-08,,,25.0,,,
apache-airflow-providers-common-sql,CVE-2025-30473,,high,0,,2025-04-07,1.24.1,2025-03-31,,,-7.0,major
ecdsa,CVE-2024-23342,,high,0,,2024-01-22,,,,,,
ray,CVE-2023-6021,,critical,0,,2023-11-16,2.8.1,2023-12-01,,,15.0,major
ray,CVE-2023-6020,,critical,0,,2023-11-16,2.8.1,2023-12-01,,,15.0,major
ray,CVE-2023-48022,,critical,0,,2023-11-28,,,,,,
ray,CVE-2023-6019,,critical,0,,2023-11-16,2.8.1,2023-12-01,,,15.0,major
ray,CVE-2025-1979,,moderate,0,,2025-03-06,2.43.0,2025-02-27,,,-7.0,major
ray,CVE-2025-1979,,unknown,0,,2025-03-06,2.43.0,2025-02-27,,,-7.0,major
opencv-python,,,high,0,,2024-08-30,4.8.1.78,2023-09-28,,,-337.0,major
langchain-text-splitters,CVE-2025-6985,,high,0,,2025-10-06,0.3.9,2025-07-24,,,-74.0,minor
jupyter-lsp,CVE-2024-22415,,high,0,,2024-01-18,2.2.2,2024-01-17,,,-1.0,major
django,CVE-2024-45230,,moderate,4.2,2023-04-03,2024-10-08,5.1.1,2024-09-03,554.0,519.0,-35.0,major
django,CVE-2025-57833,,high,0,,2025-09-08,4.2.24,2025-09-03,,,-5.0,major
django,CVE-2024-41990,,moderate,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2023-41164,,moderate,3.2,2021-04-06,2023-11-03,3.2.21,2023-09-04,941.0,881.0,-60.0,patch
django,CVE-2025-48432,,moderate,0,,2025-06-05,5.2.2,2025-06-04,,,-1.0,major
django,CVE-2024-53907,,moderate,4.2.0,,2024-12-06,5.1.4,2024-12-04,,,-2.0,major
django,CVE-2025-32873,,moderate,4.2,2023-04-03,2025-05-08,4.2.21,2025-05-07,766.0,765.0,-1.0,patch
django,CVE-2024-39330,,high,4.2,2023-04-03,2024-07-10,5.0.7,2024-07-09,464.0,463.0,-1.0,major
django,CVE-2024-39614,,high,4.2,2023-04-03,2024-07-10,5.0.7,2024-07-09,464.0,463.0,-1.0,major
django,CVE-2023-43665,,high,3.2a1,2021-01-19,2023-11-03,3.2.22,2023-10-04,1018.0,988.0,-30.0,patch
django,CVE-2025-59681,,high,4.2,2023-04-03,2025-10-01,4.2.25,2025-10-01,912.0,912.0,0.0,patch
django,CVE-2024-41989,,moderate,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2024-53908,,high,4.2.0,,2024-12-06,5.0.10,2024-12-04,,,-2.0,major
django,CVE-2025-26699,,moderate,4.2,2023-04-03,2025-03-06,4.2.20,2025-03-06,703.0,703.0,0.0,patch
django,CVE-2024-42005,,critical,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2025-59682,,low,4.2,2023-04-03,2025-10-01,4.2.25,2025-10-01,912.0,912.0,0.0,patch
django,CVE-2024-56374,,moderate,4.2,2023-04-03,2025-01-14,5.1.5,2025-01-14,652.0,652.0,0.0,major
django,CVE-2024-38875,,high,4.2,2023-04-03,2024-07-10,4.2.14,2024-07-09,464.0,463.0,-1.0,patch
django,CVE-2023-46695,,high,3.2a1,2021-01-19,2023-11-02,3.2.23,2023-11-01,1017.0,1016.0,-1.0,patch
django,CVE-2024-41991,,moderate,4.2,2023-04-03,2024-08-07,5.0.8,2024-08-06,492.0,491.0,-1.0,major
django,CVE-2024-45231,,moderate,0,,2024-10-08,5.1.1,2024-09-03,,,-35.0,major
django,CVE-2024-27351,,moderate,3.2,2021-04-06,2024-03-15,3.2.25,2024-03-04,1074.0,1063.0,-11.0,patch
